ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20211231,16.86,16.9,16.4,16.48,16.82,-0.34,-2.0214,1750760.89,2899617.148
000001.SZ,20211230,16.76,16.95,16.72,16.82,16.75,0.07,0.4179,796663.6,1342374.249
000001.SZ,20211229,17.16,17.16,16.7,16.75,17.17,-0.42,-2.4461,1469373.98,2480534.592
000001.SZ,20211228,17.22,17.33,17.09,17.17,17.22,-0.05,-0.2904,1126638.91,1934461.075
000001.SZ,20211227,17.33,17.35,17.16,17.22,17.31,-0.09,-0.5199,731118.99,1260455.319
000001.SZ,20211224,17.33,17.35,17.21,17.31,17.32,-0.01,-0.0577,488251.49,843109.664
000001.SZ,20211223,17.4,17.43,17.21,17.32,17.39,-0.07,-0.4025,1059575.94,1831122.716
000001.SZ,20211222,17.62,17.64,17.3,17.39,17.59,-0.2,-1.137,976927.75,1701772.583
000001.SZ,20211221,17.49,17.71,17.48,17.59,17.52,0.07,0.3995,893734.04,1572895.581
000001.SZ,20211220,17.56,17.65,17.45,17.52,17.57,-0.05,-0.2846,746435.2,1309029.268
000001.SZ,20211217,17.7,17.75,17.57,17.57,17.72,-0.15,-0.8465,602369.67,1062875.482
000001.SZ,20211216,17.55,17.73,17.46,17.72,17.55,0.17,0.9687,819479.51,1445483.375
000001.SZ,20211215,17.51,17.66,17.4,17.55,17.58,-0.03,-0.1706,1294627.41,2269821.045
000001.SZ,20211214,18.16,18.17,17.52,17.58,18.27,-0.69,-3.7767,1937208.9,3434156.327
000001.SZ,20211213,18.47,18.88,18.18,18.27,18.38,-0.11,-0.5985,1314490.27,2427803.721
000001.SZ,20211210,18.51,18.7,18.27,18.38,18.7,-0.32,-1.7112,989255.13,1824076.523
000001.SZ,20211209,18.49,19.06,18.37,18.7,18.47,0.23,1.2453,1455886.68,2726663.443
000001.SZ,20211208,18.45,18.55,18.16,18.47,18.46,0.01,0.0542,980281.18,1798691.052
000001.SZ,20211207,18.3,18.67,18.15,18.46,18.1,0.36,1.989,1616443.87,2979968.976
000001.SZ,20211206,17.85,18.56,17.8,18.1,17.65,0.45,2.5496,2145625.28,3896385.171
000001.SZ,20211203,17.64,17.7,17.41,17.65,17.59,0.06,0.3411,707599.74,1242375.057
000001.SZ,20211202,17.62,17.81,17.37,17.59,17.64,-0.05,-0.2834,994798.35,1749164.558
000001.SZ,20211201,17.43,17.77,17.37,17.64,17.44,0.2,1.1468,706925.19,1243666.842
000001.SZ,20211130,17.54,17.68,17.35,17.44,17.51,-0.07,-0.3998,733616.06,1280384.552
000001.SZ,20211129,17.41,17.57,17.36,17.51,17.58,-0.07,-0.3982,512594.71,895105.981
000001.SZ,20211126,17.62,17.67,17.52,17.58,17.68,-0.1,-0.5656,694499.88,1219937.312
000001.SZ,20211125,17.74,17.79,17.63,17.68,17.87,-0.19,-1.0632,603532.7,1068221.304
000001.SZ,20211124,17.77,17.95,17.66,17.87,17.88,-0.01,-0.0559,741310.84,1316774.397
000001.SZ,20211123,18.11,18.35,17.68,17.88,18.12,-0.24,-1.3245,1235977.96,2213817.59
000001.SZ,20211122,18.03,18.25,17.9,18.12,18.15,-0.03,-0.1653,738617.8,1337768.172
000001.SZ,20211119,17.8,18.24,17.7,18.15,17.8,0.35,1.9663,786371.56,1414506.38
000001.SZ,20211118,18.09,18.12,17.73,17.8,18.11,-0.31,-1.7118,799843.77,1430058.311
000001.SZ,20211117,18.15,18.3,17.98,18.11,18.22,-0.11,-0.6037,664640.38,1203859.18
000001.SZ,20211116,18.36,18.54,18.17,18.22,18.43,-0.21,-1.1394,601110.48,1099113.409
000001.SZ,20211115,18.35,18.63,18.2,18.43,18.27,0.16,0.8758,655089.99,1203764.095
000001.SZ,20211112,18.31,18.63,18.11,18.27,18.35,-0.08,-0.436,957546.46,1753072.716
000001.SZ,20211111,17.35,18.43,17.32,18.35,17.4,0.95,5.4598,2084729,3752413.858
000001.SZ,20211110,17.46,17.47,17.16,17.4,17.53,-0.13,-0.7416,1220850.88,2109735.147
000001.SZ,20211109,17.48,17.65,17.26,17.53,17.42,0.11,0.6315,1240572.75,2163193.119
000001.SZ,20211108,17.62,17.81,17.36,17.42,17.64,-0.22,-1.2472,1376814.82,2406417.771
000001.SZ,20211105,17.85,18,17.57,17.64,17.87,-0.23,-1.2871,1096039.88,1942415.605
000001.SZ,20211104,18.08,18.1,17.8,17.87,18.03,-0.16,-0.8874,983410.98,1760671.898
000001.SZ,20211103,18.1,18.24,17.85,18.03,18.18,-0.15,-0.8251,1114972.04,2009325.065
000001.SZ,20211102,19.37,19.49,17.99,18.18,19.39,-1.21,-6.2403,1997690.5,3691356.324
