dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,AverageTemperature_1,AverageTemperatureUncertainty_1
2000-1-1 平均值, , , , , , ,12.3243,.38755
2000-2-1 平均值, , , , , , ,13.90121,.34628
2000-3-1 平均值, , , , , , ,17.29798,.3556
2000-4-1 平均值, , , , , , ,20.67422,.30726
2000-5-1 平均值, , , , , , ,23.03674,.35456
2000-6-1 平均值, , , , , , ,24.1563,.39125
2000-7-1 平均值, , , , , , ,24.67627,.36663
2000-8-1 平均值, , , , , , ,24.48956,.40613
2000-9-1 平均值, , , , , , ,22.80447,.30375
2000-10-1 平均值, , , , , , ,20.18565,.33759
2000-11-1 平均值, , , , , , ,16.68947,.36667
2000-12-1 平均值, , , , , , ,13.83875,.36404
2001-1-1 平均值, , , , , , ,12.66861,.42217
2001-2-1 平均值, , , , , , ,14.38087,.38564
2001-3-1 平均值, , , , , , ,17.58976,.38076
2001-4-1 平均值, , , , , , ,20.43839,.3236
2001-5-1 平均值, , , , , , ,23.2367,.35558
2001-6-1 平均值, , , , , , ,24.10982,.41541
2001-7-1 平均值, , , , , , ,24.93453,.33885
2001-8-1 平均值, , , , , , ,24.62795,.32756
2001-9-1 平均值, , , , , , ,23.0011,.3632
2001-10-1 平均值, , , , , , ,20.59572,.3386
2001-11-1 平均值, , , , , , ,16.99794,.37121
2001-12-1 平均值, , , , , , ,13.57083,.39578
2002-1-1 平均值, , , , , , ,13.31622,.41571
2002-2-1 平均值, , , , , , ,15.46412,.37577
2002-3-1 平均值, , , , , , ,18.24215,.32698
2002-4-1 平均值, , , , , , ,20.60843,.33375
2002-5-1 平均值, , , , , , ,23.06637,.3667
2002-6-1 平均值, , , , , , ,24.34122,.31516
2002-7-1 平均值, , , , , , ,25.35836,.43306
2002-8-1 平均值, , , , , , ,24.53164,.31256
2002-9-1 平均值, , , , , , ,22.93419,.3481
2002-10-1 平均值, , , , , , ,20.13988,.39926
2002-11-1 平均值, , , , , , ,16.72986,.34957
2002-12-1 平均值, , , , , , ,13.53578,.38332
2003-1-1 平均值, , , , , , ,12.79954,.42546
2003-2-1 平均值, , , , , , ,14.43474,.40973
2003-3-1 平均值, , , , , , ,17.07866,.36393
2003-4-1 平均值, , , , , , ,20.38075,.37572
2003-5-1 平均值, , , , , , ,23.22125,.3832
2003-6-1 平均值, , , , , , ,24.43278,.43499
2003-7-1 平均值, , , , , , ,24.68177,.40978
2003-8-1 平均值, , , , , , ,24.58769,.41358
2003-9-1 平均值, , , , , , ,22.95315,.36224
2003-10-1 平均值, , , , , , ,20.0594,.38357
2003-11-1 平均值, , , , , , ,17.05252,.33665
2003-12-1 平均值, , , , , , ,13.88011,.34644
2004-1-1 平均值, , , , , , ,12.69015,.41899
2004-2-1 平均值, , , , , , ,14.76807,.36669
2004-3-1 平均值, , , , , , ,17.92678,.38463
2004-4-1 平均值, , , , , , ,20.728,.33546
2004-5-1 平均值, , , , , , ,22.68653,.3453
2004-6-1 平均值, , , , , , ,23.94269,.403
2004-7-1 平均值, , , , , , ,24.57806,.35964
2004-8-1 平均值, , , , , , ,24.33165,.36795
2004-9-1 平均值, , , , , , ,23.14777,.30487
2004-10-1 平均值, , , , , , ,20.13639,.35829
2004-11-1 平均值, , , , , , ,17.25484,.30662
2004-12-1 平均值, , , , , , ,13.87552,.33571
2005-1-1 平均值, , , , , , ,12.75448,.37468
2005-2-1 平均值, , , , , , ,13.78233,.40063
2005-3-1 平均值, , , , , , ,17.02063,.3159
2005-4-1 平均值, , , , , , ,20.76632,.32591
2005-5-1 平均值, , , , , , ,22.7808,.37309
2005-6-1 平均值, , , , , , ,24.77572,.36748
2005-7-1 平均值, , , , , , ,24.86599,.32996
2005-8-1 平均值, , , , , , ,24.60775,.33953
2005-9-1 平均值, , , , , , ,23.30576,.28866
2005-10-1 平均值, , , , , , ,20.33532,.36248
2005-11-1 平均值, , , , , , ,17.05777,.33375
2005-12-1 平均值, , , , , , ,13.234,.36639
2006-1-1 平均值, , , , , , ,12.99794,.42185
2006-2-1 平均值, , , , , , ,14.7125,.41377
2006-3-1 平均值, , , , , , ,17.19218,.39133
2006-4-1 平均值, , , , , , ,20.2339,.47669
2006-5-1 平均值, , , , , , ,22.95222,.42307
2006-6-1 平均值, , , , , , ,24.38026,.37291
2006-7-1 平均值, , , , , , ,25.03133,.36822
2006-8-1 平均值, , , , , , ,24.71884,.38713
2006-9-1 平均值, , , , , , ,23.01361,.31042
2006-10-1 平均值, , , , , , ,20.96664,.31571
2006-11-1 平均值, , , , , , ,17.28912,.31749
2006-12-1 平均值, , , , , , ,14.03938,.37038
2007-1-1 平均值, , , , , , ,13.43582,.41536
2007-2-1 平均值, , , , , , ,15.07378,.40264
2007-3-1 平均值, , , , , , ,17.61691,.33317
2007-4-1 平均值, , , , , , ,20.48394,.3587
2007-5-1 平均值, , , , , , ,23.48876,.31591
2007-6-1 平均值, , , , , , ,24.49131,.33958
2007-7-1 平均值, , , , , , ,24.67724,.35837
2007-8-1 平均值, , , , , , ,24.70171,.33416
2007-9-1 平均值, , , , , , ,23.09679,.37791
2007-10-1 平均值, , , , , , ,20.37684,.33474
2007-11-1 平均值, , , , , , ,16.86562,.34216
2007-12-1 平均值, , , , , , ,13.94252,.34559
2008-1-1 平均值, , , , , , ,12.36067,.40405
2008-2-1 平均值, , , , , , ,13.73491,.39692
2008-3-1 平均值, , , , , , ,18.13619,.36894
2008-4-1 平均值, , , , , , ,20.66613,.348
2008-5-1 平均值, , , , , , ,22.71193,.34461
2008-6-1 平均值, , , , , , ,23.94896,.38323
2008-7-1 平均值, , , , , , ,24.73896,.30634
2008-8-1 平均值, , , , , , ,24.45372,.35759
2008-9-1 平均值, , , , , , ,22.97694,.32211
2008-10-1 平均值, , , , , , ,20.54477,.31664
2008-11-1 平均值, , , , , , ,17.05691,.33738
2008-12-1 平均值, , , , , , ,13.97525,.35787
2009-1-1 平均值, , , , , , ,12.87896,.36318
2009-2-1 平均值, , , , , , ,15.18893,.38069
2009-3-1 平均值, , , , , , ,17.51858,.33723
2009-4-1 平均值, , , , , , ,20.55247,.38534
2009-5-1 平均值, , , , , , ,23.18394,.34018
2009-6-1 平均值, , , , , , ,24.58638,.3441
2009-7-1 平均值, , , , , , ,24.82574,.39652
2009-8-1 平均值, , , , , , ,24.73854,.3511
2009-9-1 平均值, , , , , , ,23.26629,.30031
2009-10-1 平均值, , , , , , ,20.51236,.30445
2009-11-1 平均值, , , , , , ,16.89762,.38435
2009-12-1 平均值, , , , , , ,13.85521,.34261
2010-1-1 平均值, , , , , , ,12.89556,.40694
2010-2-1 平均值, , , , , , ,15.00602,.34021
2010-3-1 平均值, , , , , , ,17.99422,.35701
2010-4-1 平均值, , , , , , ,20.60926,.32646
2010-5-1 平均值, , , , , , ,23.43986,.34618
2010-6-1 平均值, , , , , , ,24.58293,.36011
2010-7-1 平均值, , , , , , ,25.32517,.37293
2010-8-1 平均值, , , , , , ,24.92402,.39142
2010-9-1 平均值, , , , , , ,23.1136,.317
2010-10-1 平均值, , , , , , ,20.24914,.31107
2010-11-1 平均值, , , , , , ,17.36539,.40658
2010-12-1 平均值, , , , , , ,13.43564,.43347
2011-1-1 平均值, , , , , , ,12.01797,.48517
2011-2-1 平均值, , , , , , ,14.30767,.37434
2011-3-1 平均值, , , , , , ,16.96784,.38492
2011-4-1 平均值, , , , , , ,20.28739,.33504
2011-5-1 平均值, , , , , , ,22.99368,.3649
2011-6-1 平均值, , , , , , ,24.32631,.42487
2011-7-1 平均值, , , , , , ,24.91556,.39459
2011-8-1 平均值, , , , , , ,24.57709,.33637
2011-9-1 平均值, , , , , , ,22.97664,.33491
2011-10-1 平均值, , , , , , ,20.23834,.3554
2011-11-1 平均值, , , , , , ,17.21146,.39194
2011-12-1 平均值, , , , , , ,13.77041,.49945
2012-1-1 平均值, , , , , , ,12.44496,.51034
2012-2-1 平均值, , , , , , ,13.51301,.41186
2012-3-1 平均值, , , , , , ,17.26119,.40696
2012-4-1 平均值, , , , , , ,20.62158,.48182
2012-5-1 平均值, , , , , , ,23.45831,.42132
2012-6-1 平均值, , , , , , ,24.66302,.54778
2012-7-1 平均值, , , , , , ,25.21899,.61247
2012-8-1 平均值, , , , , , ,24.77204,.52652
2012-9-1 平均值, , , , , , ,23.05836,.46548
2012-10-1 平均值, , , , , , ,20.48724,.53167
2012-11-1 平均值, , , , , , ,16.94874,.48647
2012-12-1 平均值, , , , , , ,13.57143,.56696
2013-1-1 平均值, , , , , , ,12.75366,.57887
2013-2-1 平均值, , , , , , ,14.61521,.60957
2013-3-1 平均值, , , , , , ,17.33937,.6182
2013-4-1 平均值, , , , , , ,19.98301,.62107
2013-5-1 平均值, , , , , , ,23.40596,.51706
2013-6-1 平均值, , , , , , ,24.34176,.54892
2013-7-1 平均值, , , , , , ,24.95132,.56358
2013-8-1 平均值, , , , , , ,24.77023,.55782
2013-9-1 平均值, , , , , , ,20.759124,1.331799
