dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,AverageTemperature_1,AverageTemperatureUncertainty_1
2012-1-1 平均值, , , , , , ,12.44496,.51034
2012-2-1 平均值, , , , , , ,13.51301,.41186
2012-3-1 平均值, , , , , , ,17.26119,.40696
2012-4-1 平均值, , , , , , ,20.62158,.48182
2012-5-1 平均值, , , , , , ,23.45831,.42132
2012-6-1 平均值, , , , , , ,24.66302,.54778
2012-7-1 平均值, , , , , , ,25.21899,.61247
2012-8-1 平均值, , , , , , ,24.77204,.52652
2012-9-1 平均值, , , , , , ,23.05836,.46548
2012-10-1 平均值, , , , , , ,20.48724,.53167
2012-11-1 平均值, , , , , , ,16.94874,.48647
2012-12-1 平均值, , , , , , ,13.57143,.56696
